EgoID,SurveyNr,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Community
106991,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
177778,3,0.001154068090017311,0.06674735719338495,0.003912910186456308,0.0002220389944312357,17
130931,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
174771,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
191796,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
127062,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
149078,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
196341,3,0.0005770340450086555,0.059270122963046144,0.0,2.072301030165986e-05,17
34250,3,0.011540680900173109,0.01154068090017311,0.00012660100294647176,2.1143846453236484e-13,26
150286,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
185359,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
111122,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
144147,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
186391,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
193304,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
147225,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
129946,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
115624,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
153775,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
127156,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
194868,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
164027,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
101692,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
122690,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
189136,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
190194,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
198515,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
136692,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
198782,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,26
34853,3,0.011540680900173109,0.016534321545732443,0.000973161920017484,3.5988241609389007e-11,6
131079,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
116494,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
197774,3,0.001154068090017311,0.014012958729374417,0.00011593986585624251,1.5118362837794887e-11,6
193817,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
129958,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
190505,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
169903,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
196546,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
130765,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
135249,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
160465,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
