StudentID;SurveyDate;SurveyNr;Question;LastOpinionChangeWeightA;LastOpinionChangeWeightB;SurveyWeightA;SurveyWeightB;OpinionSim;OpinionSurvey;Mu;Theta;Lambda;ForgettingType;Delta;Units
46654;1359146325;5;jobguar;-1.000000;-1.000000;0.000000;0.927976;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
62555;1358556966;5;jobguar;-1.000000;-1.000000;0.000000;0.157594;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
15071;1359387475;5;jobguar;-1.000000;-1.000000;0.513503;0.000000;0;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
82060;1359395852;5;jobguar;-1.000000;-1.000000;0.000000;0.885148;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
46771;1358852855;5;jobguar;-1.000000;-1.000000;0.826956;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
78638;1359407353;5;jobguar;-1.000000;-1.000000;0.000000;0.543353;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
50947;1359055569;5;jobguar;0.300110;0.043467;0.001734;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
53884;1328461057;2;jobguar;-1.000000;-1.000000;0.000000;0.000006;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
53884;1337021099;3;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
53884;1345459363;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
53884;1358597995;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
88175;1358613847;5;jobguar;-1.000000;-1.000000;0.000000;0.777346;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
45945;1359412877;5;jobguar;-1.000000;-1.000000;0.699126;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
51675;1359479232;5;jobguar;-1.000000;-1.000000;0.000000;0.537853;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
84215;1359400522;5;jobguar;0.000000;0.300000;0.000000;0.000002;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
32174;1359324603;5;jobguar;-1.000000;-1.000000;0.000000;0.000086;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
13116;1359545883;5;jobguar;-1.000000;-1.000000;0.000000;0.800467;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
51552;1358782237;5;jobguar;-1.000000;-1.000000;0.000000;0.772424;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
70889;1327745994;2;jobguar;0.292703;0.342065;0.000000;0.000000;2;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
70889;1336554362;3;jobguar;-1.000000;-1.000000;0.000000;0.000000;2;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
70889;1345484858;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;2;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
70889;1358539807;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;2;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
68494;1359502407;5;jobguar;-1.000000;-1.000000;0.000000;0.928461;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
71627;1359747430;5;jobguar;-1.000000;-1.000000;0.256240;0.958151;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
25947;1359817079;5;jobguar;-1.000000;-1.000000;0.000000;0.932431;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
71518;1359812366;5;jobguar;0.151941;0.332703;0.023509;0.714666;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
82282;1359787927;5;jobguar;-1.000000;-1.000000;0.000000;0.829136;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
37617;1359812143;5;jobguar;-1.000000;-1.000000;0.000018;0.712489;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
30076;1359620328;5;jobguar;-1.000000;-1.000000;0.000000;0.188969;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
63063;1346714726;4;jobguar;0.000049;0.300000;0.000000;0.000326;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
63063;1359731414;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
17353;1358850447;5;jobguar;-1.000000;-1.000000;0.000000;0.214583;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
48990;1359920563;5;jobguar;0.369137;0.546494;0.241465;0.884804;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
22931;1359828706;5;jobguar;-1.000000;-1.000000;0.000000;0.595715;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
49597;1359816062;5;jobguar;-1.000000;-1.000000;0.000000;0.783817;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
45539;1359980488;5;jobguar;-1.000000;-1.000000;0.000000;0.952322;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
62560;1359984804;5;jobguar;-1.000000;-1.000000;0.000000;0.821931;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
32100;1359386539;5;jobguar;-1.000000;-1.000000;0.000000;0.130376;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
66052;1358859785;5;jobguar;-1.000000;-1.000000;0.000000;0.534176;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
53275;1359963872;5;jobguar;-1.000000;-1.000000;0.000000;0.781692;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
11360;1359990903;5;jobguar;-1.000000;-1.000000;0.000000;0.778359;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
23144;1359986749;5;jobguar;-1.000000;-1.000000;0.000000;0.930160;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
14188;1358538045;5;jobguar;-1.000000;-1.000000;0.000000;0.002008;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
52635;1358881646;5;jobguar;-1.000000;-1.000000;0.000000;0.013752;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
29914;1359990644;5;jobguar;-1.000000;-1.000000;0.430914;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
39701;1359891974;5;jobguar;0.537172;0.648972;0.000429;0.571561;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
24760;1359809426;5;jobguar;-1.000000;-1.000000;0.000000;0.000018;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
77023;1360017658;5;jobguar;-1.000000;-1.000000;0.000000;0.339351;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
25323;1359919175;5;jobguar;0.589440;0.745446;0.000009;0.853016;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
19066;1360011309;5;jobguar;-1.000000;-1.000000;0.000000;0.030173;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
71700;1360166592;5;jobguar;-1.000000;-1.000000;0.000000;0.825873;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
36143;1359898902;5;jobguar;-1.000000;-1.000000;0.000000;0.137434;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
11692;1359926453;5;jobguar;0.006774;0.300000;0.000568;0.963901;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
49294;1359988016;5;jobguar;-1.000000;-1.000000;0.000000;0.018880;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
71782;1359972749;5;jobguar;-1.000000;-1.000000;0.617338;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
18420;1359397191;5;jobguar;-1.000000;-1.000000;0.000000;0.543085;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
16313;1359917006;5;jobguar;-1.000000;-1.000000;0.000000;0.000166;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
73303;1359921172;5;jobguar;-1.000000;-1.000000;0.000000;0.132147;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
75468;1359985399;5;jobguar;-1.000000;-1.000000;0.000000;0.718867;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
66404;1359899733;5;jobguar;-1.000000;-1.000000;0.000000;0.470651;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
80058;1359387868;5;jobguar;-1.000000;-1.000000;0.000000;0.000629;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
36006;1358693047;5;jobguar;-1.000000;-1.000000;0.000000;0.000001;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
75178;1358629706;5;jobguar;-1.000000;-1.000000;0.000000;0.000314;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
18344;1359987737;5;jobguar;-1.000000;-1.000000;0.000000;0.871498;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
67947;1359463843;5;jobguar;-1.000000;-1.000000;0.000222;0.003191;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
34853;1358603857;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
26425;1359110260;5;jobguar;-1.000000;-1.000000;0.000000;0.000102;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
34250;1359283083;5;jobguar;-1.000000;-1.000000;0.000000;0.359099;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
84841;1330110929;2;jobguar;0.300268;0.153199;0.000000;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
84841;1347545097;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
84841;1360101148;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
66245;1359920474;5;jobguar;-1.000000;-1.000000;0.000000;0.102766;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
68533;1361004719;5;jobguar;-1.000000;-1.000000;0.000000;0.144070;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
86352;1360001597;5;jobguar;-1.000000;-1.000000;0.000000;0.182388;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
20905;1359990847;5;jobguar;0.112411;0.373449;0.000000;0.846341;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
76313;1358846722;5;jobguar;-1.000000;-1.000000;0.000000;0.455133;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
31372;1359468276;5;jobguar;0.000962;0.300002;0.000869;0.271165;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
86237;1359813479;5;jobguar;-1.000000;-1.000000;0.158476;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
21350;1358600532;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
26999;1359387611;5;jobguar;-1.000000;-1.000000;0.000000;0.242326;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
73175;1337007276;3;jobguar;0.300000;0.000000;0.001596;0.000000;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
73175;1345795171;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
73175;1358537153;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
52385;1347201843;4;jobguar;-1.000000;-1.000000;0.000000;0.535259;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
52385;1358762831;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
52441;1359812192;5;jobguar;-1.000000;-1.000000;0.000000;0.000009;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
50869;1367485273;6;jobguar;-1.000000;-1.000000;0.000000;0.938886;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
13799;1367485580;6;jobguar;-1.000000;-1.000000;0.000000;0.623745;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
10060;1367502751;6;jobguar;-1.000000;-1.000000;0.000000;0.892370;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
51722;1367486844;6;jobguar;-1.000000;-1.000000;0.000000;0.873085;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
85596;1367496109;6;jobguar;-1.000000;-1.000000;0.000000;0.919779;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
86727;1367510309;6;jobguar;-1.000000;-1.000000;0.000000;0.978736;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
29914;1367482666;6;jobguar;0.738058;0.611614;0.600325;0.000040;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
10841;1367510818;6;jobguar;-1.000000;-1.000000;0.000000;0.788259;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
50181;1358861136;5;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
45945;1367502161;6;jobguar;0.639774;0.431223;0.733965;0.000069;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
18394;1367611575;6;jobguar;-1.000000;-1.000000;0.000000;0.898105;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
40997;1367496119;6;jobguar;-1.000000;-1.000000;0.000000;0.694910;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
50947;1367492887;6;jobguar;0.000893;0.300000;0.000000;0.000026;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
31583;1367838280;6;jobguar;-1.000000;-1.000000;0.000000;0.930440;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
22931;1367840568;6;jobguar;-1.000000;-1.000000;0.000000;0.239315;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
38901;1367913952;6;jobguar;0.549259;0.726253;0.000000;0.934642;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
51552;1367506297;6;jobguar;-1.000000;-1.000000;0.000000;0.867617;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
66754;1367921501;6;jobguar;-1.000000;-1.000000;0.000000;0.836616;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
63817;1327756878;2;jobguar;-1.000000;-1.000000;0.000000;0.000696;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
63817;1336996234;3;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
63817;1345457114;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
57637;1367953766;6;jobguar;-1.000000;-1.000000;0.000000;0.858863;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
51675;1367931420;6;jobguar;-1.000000;-1.000000;0.000000;0.471371;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
24853;1367594454;6;jobguar;-1.000000;-1.000000;0.000000;0.511500;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
72746;1368013240;6;jobguar;-1.000000;-1.000000;0.706473;0.000006;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
14188;1367709050;6;jobguar;-1.000000;-1.000000;0.000000;0.236252;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
88175;1368047996;6;jobguar;-1.000000;-1.000000;0.000000;0.797985;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
23144;1368115161;6;jobguar;-1.000000;-1.000000;0.000000;0.919504;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
15071;1368124414;6;jobguar;-1.000000;-1.000000;0.515534;0.000007;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
13116;1368095907;6;jobguar;-1.000000;-1.000000;0.000000;0.156257;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
16495;1368137396;6;jobguar;-1.000000;-1.000000;0.000000;0.840747;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
30952;1368134782;6;jobguar;-1.000000;-1.000000;0.000000;0.842572;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
32899;1367680323;6;jobguar;-1.000000;-1.000000;0.000000;0.650399;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
45539;1368144743;6;jobguar;-1.000000;-1.000000;0.000000;0.991059;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
89827;1368147837;6;jobguar;-1.000000;-1.000000;0.000000;0.719919;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
46021;1367493476;6;jobguar;-1.000000;-1.000000;0.000000;0.740304;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
82282;1368200079;6;jobguar;-1.000000;-1.000000;0.000000;0.973919;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
62555;1367966844;6;jobguar;-1.000000;-1.000000;0.000000;0.156884;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
23642;1368240659;6;jobguar;-1.000000;-1.000000;0.000000;0.516941;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
52635;1367946920;6;jobguar;-1.000000;-1.000000;0.000000;0.005787;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
75261;1368313365;6;jobguar;-1.000000;-1.000000;0.001613;0.961009;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
18420;1367515251;6;jobguar;-1.000000;-1.000000;0.000000;0.001334;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
31372;1368213128;6;jobguar;-1.000000;-1.000000;0.000000;0.000046;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
68633;1368109764;6;jobguar;-1.000000;-1.000000;0.000000;0.001143;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
53884;1367601217;6;jobguar;0.300000;0.000258;0.010672;0.000002;0;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
35227;1368390656;6;jobguar;-1.000000;-1.000000;0.000000;0.988838;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
68494;1368390317;6;jobguar;-1.000000;-1.000000;0.000000;0.990996;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
46160;1368196211;6;jobguar;-1.000000;-1.000000;0.000000;0.587027;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
46771;1368453499;6;jobguar;0.540880;0.319194;0.770949;0.001803;0;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
52067;1368471299;6;jobguar;-1.000000;-1.000000;0.000000;0.908552;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
75468;1368400706;6;jobguar;-1.000000;-1.000000;0.000000;0.178845;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
78062;1337266721;3;jobguar;-1.000000;-1.000000;0.000000;0.040575;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
78062;1345503313;4;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
78062;1367528856;6;jobguar;-1.000000;-1.000000;0.000000;0.000000;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
66404;1368094313;6;jobguar;-1.000000;-1.000000;0.000000;0.709100;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
78911;1368653394;6;jobguar;-1.000000;-1.000000;0.000000;0.330227;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
71627;1368737679;6;jobguar;0.869618;0.973518;0.002437;0.868723;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
25947;1368310464;6;jobguar;-1.000000;-1.000000;0.000000;0.920953;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
59367;1368399321;6;jobguar;-1.000000;-1.000000;0.000000;0.801311;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
32174;1368400676;6;jobguar;-1.000000;-1.000000;0.000000;0.116056;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
19844;1368388871;6;jobguar;0.908987;0.787022;0.642853;0.046748;0;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
53275;1368397226;6;jobguar;-1.000000;-1.000000;0.000000;0.678987;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
30076;1368265783;6;jobguar;-1.000000;-1.000000;0.000000;0.420276;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
51597;1368203422;6;jobguar;-1.000000;-1.000000;0.000000;0.841429;1;1;0.300000;0.200000;0.005631;exponential;0.100000;3600
32100;1367485244;6;jobguar;-1.000000;-1.000000;0.000000;0.808993;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
82060;1367933235;6;jobguar;-1.000000;-1.000000;0.000000;0.412186;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
63757;1369428800;6;jobguar;-1.000000;-1.000000;0.000000;0.004748;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
88133;1370724057;6;jobguar;-1.000000;-1.000000;0.000000;0.352305;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
63188;1368461167;6;jobguar;-1.000000;-1.000000;0.000000;0.000881;1;0;0.300000;0.200000;0.005631;exponential;0.100000;3600
39783;1367574516;6;jobguar;-1.000000;-1.000000;0.000000;0.176785;1;2;0.300000;0.200000;0.005631;exponential;0.100000;3600
