Category,F1 Score
gender_1,0.4918032786885246
ethnicity_1,0.6236559139784946
fbprivacy_1,0.75
gaymarriage_6,0.6181818181818182
engnative_1,0.5572100313479624
pincome_1,0.41666666666666663
"momed_1, daded_1",0.5408695652173914
"momrelig_1, dadrelig_1",0.5142857142857142
